question_id,selected_schema_with_connections
0,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`County Name` TEXT null, -- examples: `Alameda`
	`Enrollment (K-12)` REAL null, -- description: Enrollment (K-12) value description: K-12: 1st grade - 12nd grade
	`Free Meal Count (K-12)` REAL null, -- description: Free Meal Count (K-12) value description: eligible free rate = Free Meal Count / Enrollment
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	County TEXT not null, -- examples: `Alameda`
	School TEXT null, -- examples: `Alameda High`, `Alameda County Community`
);"
1,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Educational Option Type` TEXT null, -- examples: `Continuation School`
	`Enrollment (Ages 5-17)` REAL null, -- description: Enrollment (Ages 5-17)
	`Free Meal Count (Ages 5-17)` REAL null, -- description: Free Meal Count (Ages 5-17) value description: eligible free rate = Free Meal Count / Enrollment
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `Continuation School`
);"
10,"CREATE TABLE satscores
(
	cds TEXT not null primary key,
	AvgScrRead INTEGER null, -- `average scores in Reading` description: average scores in Reading value description: average scores in Reading
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`FRPM Count (Ages 5-17)` REAL null, --
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	County TEXT not null, --
	School TEXT null, -- description: School
);"
11,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Enrollment (K-12)` REAL null, -- description: Enrollment (K-12) value description: K-12: 1st grade - 12nd grade
	`Enrollment (Ages 5-17)` REAL null, -- description: Enrollment (Ages 5-17)
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `MethodSchools`
);"
12,"CREATE TABLE satscores
(
	cds TEXT not null primary key,
	NumTstTakr INTEGER not null, -- `Number of Test Takers` description: Number of Test Takers in this school value description: number of test takers in each school
	NumGE1500 INTEGER null, -- `Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500` description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500 value description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500    Excellence Rate = NumGE1500 / NumTstTakr
);

CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Enrollment (Ages 5-17)` REAL null, -- description: Enrollment (Ages 5-17)
	`Free Meal Count (Ages 5-17)` REAL null, -- description: Free Meal Count (Ages 5-17) value description: eligible free rate = Free Meal Count / Enrollment
);"
13,"CREATE TABLE satscores
(
	cds TEXT not null primary key,
	NumTstTakr INTEGER not null, -- `Number of Test Takers` description: Number of Test Takers in this school value description: number of test takers in each school
	NumGE1500 INTEGER null, -- `Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500` description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500 value description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500    Excellence Rate = NumGE1500 / NumTstTakr
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `MethodSchools`
	Phone TEXT null, --
);"
14,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Enrollment (Ages 5-17)` REAL null, -- description: Enrollment (Ages 5-17)
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	NCESSchool TEXT null, -- `National Center for Educational Statistics school identification number` description: This field represents the 5-digit NCES school identification number. The NCESSchool combined with the NCESDist form a unique 12-digit ID for each school.
	School TEXT null, -- examples: `MethodSchools`| description: School
);"
15,"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	StatusType TEXT not null, -- examples: `Active`
	District TEXT not null, -- description: District
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	AvgScrRead INTEGER null, -- `average scores in Reading` description: average scores in Reading value description: average scores in Reading
	foreign key (cds) references schools (CDSCode),
);"
16,"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	StatusType TEXT not null, -- examples: `Merged`
	County TEXT not null, -- examples: `Alameda`| description: County name
	School TEXT null, -- examples: `Alameda High`| description: School
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	NumTstTakr INTEGER not null, -- `Number of Test Takers` description: Number of Test Takers in this school value description: number of test takers in each school
	foreign key (cds) references schools (CDSCode),
);"
17,"CREATE TABLE satscores
(
	cds TEXT not null primary key,
	AvgScrWrite INTEGER null, -- `average scores in writing` description: average scores in writing value description: average scores in writing
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Charter School Number` TEXT null, -- examples: `0499`| description: Charter School Number
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- description: School
	Charter INTEGER null, -- description: This field identifies a charter school. value description: The field is coded as follows:  ·       1 = The school is a charter  ·       0 = The school is not a charter
	CharterNum TEXT null, -- examples: `0499`| description: The charter school number, value description: 4-digit number assigned to a charter school.
);"
