question_id,selected_schema_with_connections
0,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key, --
	`County Code` TEXT null, --
	`County Name` TEXT null, -- examples: `Alameda`
	`School Name` TEXT null, -- examples: `Alameda High`, `Alameda County Community`
	`Enrollment (K-12)` REAL null, -- description: Enrollment (K-12) value description: K-12: 1st grade - 12nd grade
	`Free Meal Count (K-12)` REAL null, -- description: Free Meal Count (K-12) value description: eligible free rate = Free Meal Count / Enrollment
	`Percent (%) Eligible Free (K-12)` REAL null, --
	`FRPM Count (K-12)` REAL null, -- description: Free or Reduced Price Meal Count (K-12) value description: eligible FRPM rate = FRPM / Enrollment
	`Percent (%) Eligible FRPM (K-12)` REAL null, --
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key, --
	County TEXT not null, -- examples: `Alameda`
	School TEXT null, -- examples: `Alameda High`, `Alameda County Community`
);"
1,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key, --
	`School Name` TEXT null, -- examples: `Mission Continuation`
	`District Type` TEXT null, --
	`Educational Option Type` TEXT null, -- examples: `Continuation School`
	`Free Meal Count (K-12)` REAL null, -- description: Free Meal Count (K-12) value description: eligible free rate = Free Meal Count / Enrollment
	`Percent (%) Eligible FRPM (K-12)` REAL null, --
	`Enrollment (Ages 5-17)` REAL null, -- description: Enrollment (Ages 5-17)
	`Free Meal Count (Ages 5-17)` REAL null, -- description: Free Meal Count (Ages 5-17) value description: eligible free rate = Free Meal Count / Enrollment
	`Percent (%) Eligible Free (Ages 5-17)` REAL null, --
	`FRPM Count (Ages 5-17)` REAL null, --
	`Percent (%) Eligible FRPM (Ages 5-17)` REAL null, --
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key, --
	School TEXT null, -- examples: `Continuation School`
	SOC TEXT null, --
	SOCType TEXT null, --
	EdOpsCode TEXT null, -- `Education Option Code` description: The Education Option Code is a short text description of the type of education offered. value description: •      ALTSOC – Alternative School of Choice •      COMM – County Community School •       COMMDAY – Community Day School •       CON – Continuation School •       JUV – Juvenile Court School •       OPP – Opportunity School •       YTH – Youth Authority School •       SSS – State Special School •       SPEC – Special Education School •       TRAD – Traditional •       ROP – Regional Occupational Program •       HOMHOS – Home and Hospital •       SPECON – District Consortia Special Education School
	EdOpsName TEXT null, -- examples: `Continuation School`
	GSoffered TEXT null, -- examples: `5-12`
	GSserved TEXT null, -- examples: `5-11`| `grade span served.` description: It is the lowest grade and the highest grade of student enrollment as reported in the most recent certified CALPADS Fall 1 data collection. Only K–12 enrollment is reported through CALPADS. This field may differ from the grade span offered. value description: 1.     Only K–12 enrollment is reported through CALPADS  2.     Note: Special programs at independent study, alternative education, and special education schools will often exceed the typical grade span for schools of that type
);"
2,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key, --
	`County Code` TEXT null, --
	`County Name` TEXT null, -- examples: `Fresno`
	`District Name` TEXT null, -- examples: `Fresno County Office of Education`
	`Charter School (Y/N)` INTEGER null, -- description: Charter School (Y/N) value description: 0: N; 1: Y
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key, --
	County TEXT not null, -- examples: `Fresno`
	District TEXT not null, -- examples: `Fresno County Office of Education`
	Zip TEXT null, --
	MailZip TEXT null, -- `mailing zip` value description: The zip code associated with the mailing address of the school, district, or administrative authority. Note: Many entities have not provided a mailing address zip code. For your convenience we have filled the unpopulated MailZip cells with Zip data.
	Charter INTEGER null, -- description: This field identifies a charter school. value description: The field is coded as follows:  ·       1 = The school is a charter  ·       0 = The school is not a charter
);"
3,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key, --
	`School Code` TEXT null, --
	`Charter School Number` TEXT null, --
	`Enrollment (K-12)` REAL null, -- description: Enrollment (K-12) value description: K-12: 1st grade - 12nd grade
	`Free Meal Count (K-12)` REAL null, -- description: Free Meal Count (K-12) value description: eligible free rate = Free Meal Count / Enrollment
	`Percent (%) Eligible Free (K-12)` REAL null, --
	`FRPM Count (K-12)` REAL null, -- description: Free or Reduced Price Meal Count (K-12) value description: eligible FRPM rate = FRPM / Enrollment
	`Free Meal Count (Ages 5-17)` REAL null, -- description: Free Meal Count (Ages 5-17) value description: eligible free rate = Free Meal Count / Enrollment
	`Percent (%) Eligible Free (Ages 5-17)` REAL null, --
	`FRPM Count (Ages 5-17)` REAL null, --
	`2013-14 CALPADS Fall 1 Certification Status` INTEGER null, --
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key, --
	County TEXT not null, --
	School TEXT null, -- description: School
	Street TEXT null, --
	MailStreet TEXT null, -- description: MailStreet value description: The unabbreviated mailing address of the school, district, or administrative authority. Note: 1) Some entities (primarily closed or retired schools) may not have data in this field; 2) Many active entities have not provided a mailing street address. For your convenience we have filled the unpopulated MailStreet cells with Street data.
	MailCity TEXT null, -- `mailing city` value description: The city associated with the mailing address of the school, district, or administrative authority. Note: Many entities have not provided a mailing address city. For your convenience we have filled the unpopulated MailCity cells with City data.
	GSoffered TEXT null, -- examples: `K-12`
	GSserved TEXT null, -- examples: `K-12`| `grade span served.` description: It is the lowest grade and the highest grade of student enrollment as reported in the most recent certified CALPADS Fall 1 data collection. Only K–12 enrollment is reported through CALPADS. This field may differ from the grade span offered. value description: 1.     Only K–12 enrollment is reported through CALPADS  2.     Note: Special programs at independent study, alternative education, and special education schools will often exceed the typical grade span for schools of that type
);"
4,"CREATE TABLE schools
(
	CDSCode TEXT not null primary key, --
	School TEXT null, -- examples: `Epic Charter School`
	Phone TEXT null, --
	OpenDate DATE null, -- examples: `2005-08-29`
	FundingType TEXT null, -- examples: `Directly funded`| description: Indicates the charter school funding type value description: Values are as follows:  ·       Not in CS (California School) funding model  ·       Locally funded  ·       Directly funded
);

CREATE TABLE frpm
(
	CDSCode TEXT not null primary key, --
	`Charter School (Y/N)` INTEGER null, -- description: Charter School (Y/N) value description: 0: N; 1: Y
	`Charter Funding Type` TEXT null, -- examples: `Directly funded`
	foreign key (CDSCode) references schools (CDSCode),
);"
5,"CREATE TABLE schools
(
	CDSCode TEXT not null primary key, --
	School TEXT null, -- examples: `Virtual Pre`
	Virtual TEXT null, -- examples: `F`| description: This field identifies the type of virtual instruction offered by the school. Virtual instruction is instruction in which students and teachers are separated by time and/or location, and interaction occurs via computers and/or telecommunications technologies. value description: The field is coded as follows:  ·       F = Exclusively Virtual – The school has no physical building where students meet with each other or with teachers, all instruction is virtual.  ·       V = Primarily Virtual – The school focuses on a systematic program of virtual instruction but includes some physical meetings among students or with teachers.  ·       C = Primarily Classroom – The school offers virtual courses but virtual instruction is not the primary means of instruction.  ·       N = Not Virtual – The school does not offer any virtual instruction.  ·       P = Partial Virtual – The school offers some, but not all, instruction through virtual instruction. Note: This value was retired and replaced with the Primarily Virtual and Primarily Classroom values beginning with the 2016–17 school year.
);

CREATE TABLE satscores
(
	cds TEXT not null primary key, --
	AvgScrMath INTEGER null, -- `average scores in Math` description: average scores in Math value description: average scores in Math
	foreign key (cds) references schools (CDSCode),
);"
6,"CREATE TABLE satscores
(
	cds TEXT not null primary key, --
	sname TEXT null, --
	NumTstTakr INTEGER not null, -- `Number of Test Takers` description: Number of Test Takers in this school value description: number of test takers in each school
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key, --
	School TEXT null, -- examples: `MethodSchools`
	Magnet INTEGER null, -- description: This field identifies whether a school is a magnet school and/or provides a magnet program. value description: The field is coded as follows:  ·       1 = Magnet - The school is a magnet school and/or offers a magnet program.  ·       0 = Not Magnet - The school is not a magnet school and/or does not offer a magnet program.    Note: Preschools and adult education centers do not contain a magnet school indicator.
);"
7,"CREATE TABLE satscores
(
	cds TEXT not null primary key, --
	sname TEXT null, -- `school name` description: school name
	NumTstTakr INTEGER not null, -- `Number of Test Takers` description: Number of Test Takers in this school value description: number of test takers in each school
	NumGE1500 INTEGER null, -- `Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500` description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500 value description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500    Excellence Rate = NumGE1500 / NumTstTakr
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key, --
	NCESSchool TEXT null, -- examples: `11500`
	School TEXT null, -- description: School
	Phone TEXT null, -- description: Phone
	Ext TEXT null, -- examples: `1500`| `extension` description: The phone number extension of the school, district, or administrative authority. value description: The phone number extension of the school, district, or administrative authority.
);"
8,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key, --
	`School Code` TEXT null, --
	`Charter School Number` TEXT null, --
	IRC INTEGER null, --
	`High Grade` TEXT null, --
	`Enrollment (K-12)` REAL null, -- description: Enrollment (K-12) value description: K-12: 1st grade - 12nd grade
	`Free Meal Count (K-12)` REAL null, -- description: Free Meal Count (K-12) value description: eligible free rate = Free Meal Count / Enrollment
	`Percent (%) Eligible Free (K-12)` REAL null, --
	`FRPM Count (K-12)` REAL null, -- description: Free or Reduced Price Meal Count (K-12) value description: eligible FRPM rate = FRPM / Enrollment
	`Percent (%) Eligible FRPM (K-12)` REAL null, --
	`Enrollment (Ages 5-17)` REAL null, --
	`Free Meal Count (Ages 5-17)` REAL null, -- description: Free Meal Count (Ages 5-17) value description: eligible free rate = Free Meal Count / Enrollment
	`Percent (%) Eligible Free (Ages 5-17)` REAL null, --
	`FRPM Count (Ages 5-17)` REAL null, --
	`2013-14 CALPADS Fall 1 Certification Status` INTEGER null, --
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE satscores
(
	cds TEXT not null primary key, --
	sname TEXT null, -- `school name` description: school name
	enroll12 INTEGER not null, -- `enrollment (1st-12nd grade)` description: enrollment (1st-12nd grade)
	NumTstTakr INTEGER not null, -- `Number of Test Takers` description: Number of Test Takers in this school value description: number of test takers in each school
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key, --
	County TEXT not null, --
	School TEXT null, -- examples: `MethodSchools`| description: School
);"
9,"CREATE TABLE satscores
(
	cds TEXT not null primary key, --
	sname TEXT null, -- `school name` description: school name
	AvgScrMath INTEGER null, -- `average scores in Math` description: average scores in Math value description: average scores in Math
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key, --
	NCESSchool TEXT null, --
	School TEXT null, -- examples: `MethodSchools`| description: School
	Charter INTEGER null, --
	CharterNum TEXT null, -- description: The charter school number, value description: 4-digit number assigned to a charter school.
	FundingType TEXT null, -- description: Indicates the charter school funding type value description: Values are as follows:  ·       Not in CS (California School) funding model  ·       Locally funded  ·       Directly funded
	DOC TEXT not null, --
	DOCType TEXT not null, --
	SOCType TEXT null, --
);"
