correct_schema_str,question_id
"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`County Name` TEXT null, -- examples: `Alameda`
	`Enrollment (K-12)` REAL null, -- description: Enrollment (K-12) value description: K-12: 1st grade - 12nd grade
	`Free Meal Count (K-12)` REAL null, -- description: Free Meal Count (K-12) value description: eligible free rate = Free Meal Count / Enrollment
);",0
"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Educational Option Type` TEXT null, -- examples: `Continuation School`
	`Enrollment (Ages 5-17)` REAL null, -- description: Enrollment (Ages 5-17)
	`Free Meal Count (Ages 5-17)` REAL null, -- description: Free Meal Count (Ages 5-17) value description: eligible free rate = Free Meal Count / Enrollment
);",1
"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	Zip TEXT null, --
);

CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`District Name` TEXT null, -- examples: `Fresno County Office of Education`
	`Charter School (Y/N)` INTEGER null, -- description: Charter School (Y/N) value description: 0: N; 1: Y
	foreign key (CDSCode) references schools (CDSCode),
);",2
"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	MailStreet TEXT null, -- description: MailStreet value description: The unabbreviated mailing address of the school, district, or administrative authority. Note: 1) Some entities (primarily closed or retired schools) may not have data in this field; 2) Many active entities have not provided a mailing street address. For your convenience we have filled the unpopulated MailStreet cells with Street data.
);

CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`FRPM Count (K-12)` REAL null, -- description: Free or Reduced Price Meal Count (K-12) value description: eligible FRPM rate = FRPM / Enrollment
	foreign key (CDSCode) references schools (CDSCode),
);",3
"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	Phone TEXT null, --
	OpenDate DATE null, -- examples: `2006-08-28`
);

CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Charter School (Y/N)` INTEGER null, -- description: Charter School (Y/N) value description: 0: N; 1: Y
	`Charter Funding Type` TEXT null, -- examples: `Directly funded`
	foreign key (CDSCode) references schools (CDSCode),
);",4
"CREATE TABLE satscores
(
	cds TEXT not null primary key,
	AvgScrMath INTEGER null, -- `average scores in Math` description: average scores in Math value description: average scores in Math
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `Virtual Pre`
	Virtual TEXT null, -- description: This field identifies the type of virtual instruction offered by the school. Virtual instruction is instruction in which students and teachers are separated by time and/or location, and interaction occurs via computers and/or telecommunications technologies. value description: The field is coded as follows:  ·       F = Exclusively Virtual – The school has no physical building where students meet with each other or with teachers, all instruction is virtual.  ·       V = Primarily Virtual – The school focuses on a systematic program of virtual instruction but includes some physical meetings among students or with teachers.  ·       C = Primarily Classroom – The school offers virtual courses but virtual instruction is not the primary means of instruction.  ·       N = Not Virtual – The school does not offer any virtual instruction.  ·       P = Partial Virtual – The school offers some, but not all, instruction through virtual instruction. Note: This value was retired and replaced with the Primarily Virtual and Primarily Classroom values beginning with the 2016–17 school year.
);",5
"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `MethodSchools`
	Magnet INTEGER null, -- description: This field identifies whether a school is a magnet school and/or provides a magnet program. value description: The field is coded as follows:  ·       Y = Magnet - The school is a magnet school and/or offers a magnet program.  ·       N = Not Magnet - The school is not a magnet school and/or does not offer a magnet program.    Note: Preschools and adult education centers do not contain a magnet school indicator.
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	NumTstTakr INTEGER not null, -- `Number of Test Takers` description: Number of Test Takers in this school value description: number of test takers in each school
	foreign key (cds) references schools (CDSCode),
);",6
"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	Phone TEXT null, -- description: Phone
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	NumGE1500 INTEGER null, -- `Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500` description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500 value description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500    Excellence Rate = NumGE1500 / NumTstTakr
	foreign key (cds) references schools (CDSCode),
);",7
"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`FRPM Count (K-12)` REAL null, -- description: Free or Reduced Price Meal Count (K-12) value description: eligible FRPM rate = FRPM / Enrollment
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	NumTstTakr INTEGER not null, -- `Number of Test Takers` description: Number of Test Takers in this school value description: number of test takers in each school
);",8
"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`School Code` TEXT null, --
	`Charter Funding Type` TEXT null, -- description: Charter Funding Type
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	AvgScrMath INTEGER null, -- `average scores in Math` description: average scores in Math value description: average scores in Math
);",9
